"BLOCK","ROW","COLUMN","UID","Mx.Number","Genotype","StemDiam1","StemDiam2","StemDiam3","meanStemDiam","sdStemDiam","ClumpDiam","TransectCount","TallestStemTrueLeaf","TallestStemLigule","TallestStemFlower","FloweringIntensityLessThan50","FloweringIntensityGreaterThan50","FloweringIntensityGreaterThan80","SenescedGreaterThan80"
3,2,4,"28033"," - Mx 1553#57","57",4.71,4.77,4.31,4.6,0.3,430,9,142,176,177,"","","y","y"
1,6,10,"27883"," - Mx 1553#59","59",4.92,4.69,2.02,3.9,1.6,490,25,136,159,165,"y","","","y"
2,1,2,"27912"," - Mx 1553#59","59",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,5,3,"28027"," - Mx 1553#59","59",4.11,3.35,4.41,4,0.5,420,20,171,185,191,"y","","","y"
1,5,12,"27898"," - Mx 1553#60","60",4.16,3.99,4.56,4.2,0.3,290,25,145,171,NA,"","y","","y"
2,1,3,"27921"," - Mx 1553#60","60",4.44,4.69,3.98,4.4,0.4,340,25,132,161,NA,"","y","","y"
3,9,4,"28039"," - Mx 1553#60","60",4.59,4.46,4.42,4.5,0.1,370,21,134,158,NA,"","y","","y"
1,4,3,"27822"," - Mx 1553#61","61",3.41,4.19,3.79,3.8,0.4,320,21,141,160,168,"","","y","y"
2,9,7,"27964"," - Mx 1553#61","61",5.25,4.61,4.41,4.8,0.4,280,10,132,158,160,"","","y","y"
3,6,11,"28097"," - Mx 1553#61","61",3.81,3.92,4.23,4,0.2,380,15,130,152,160,"","","y","y"
1,9,6,"27851"," - Mx 1553#63","63",4.75,4.36,4.88,4.7,0.3,380,23,163,177,179,"","","y","y"
2,9,5,"27947"," - Mx 1553#63","63",4.23,4.9,4.75,4.6,0.4,340,21,159,175,177,"","","y","y"
3,6,9,"28079"," - Mx 1553#63","63",4.14,4.19,4.62,4.3,0.3,310,21,168,181,182,"","","y","y"
1,3,3,"27821"," - Mx 1553#66","66",6.11,4.19,5.23,5.2,1,170,10,70,79,NA,"y","","","y"
2,7,5,"27945"," - Mx 1553#66","66",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,8,10,"28090"," - Mx 1553#66","66",4.94,5.59,4.59,5,0.5,330,9,78,85,NA,"","y","","y"
1,5,4,"27830"," - Mx 1553#67","67",4.79,4.35,4.61,4.6,0.2,300,17,123,133,138,"","","y","y"
2,8,4,"27937"," - Mx 1553#67","67",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,9,8,"28073"," - Mx 1553#67","67",4.54,3.3,4.51,4.1,0.7,260,17,131,145,146,"","","y","y"
1,7,6,"27849"," - Mx 1553#68","68",4.08,3.7,4.52,4.1,0.4,310,18,150,175,NA,"","","y","y"
2,1,9,"27973"," - Mx 1553#68","68",4.09,4.98,4.24,4.4,0.5,330,18,157,178,NA,"","","y","y"
3,1,12,"28101"," - Mx 1553#68","68",4.84,4.22,5.11,4.7,0.5,360,12,141,166,167,"","","y","y"
1,7,8,"27867"," - Mx 1553#69","69",4.09,4.43,4.4,4.3,0.2,310,25,181,198,199,"","","y","y"
2,8,11,"27995"," - Mx 1553#69","69",5.07,4.27,5.09,4.8,0.5,320,18,172,192,196,"","","y","y"
3,7,5,"28046"," - Mx 1553#69","69",5.25,5.46,4.7,5.1,0.4,310,26,175,195,202,"","","y","y"
1,8,5,"27842"," - Mx 1553#70","70",4.63,4.09,4.26,4.3,0.3,270,19,184,218,221,"","","y","y"
2,1,7,"27956"," - Mx 1553#70","70",3.98,4.6,4.9,4.5,0.5,260,25,173,206,207,"","","y","y"
3,2,10,"28084"," - Mx 1553#70","70",6.08,4.78,4.89,5.2,0.7,380,21,190,219,221,"","","y","y"
1,3,7,"27854"," - Mx 1553#71","71",4.46,4.17,4.27,4.3,0.1,260,10,129,153,125,"","","y","y"
2,9,2,"27920"," - Mx 1553#71","71",4.06,4.98,4.74,4.6,0.5,380,15,150,167,169,"","","y","y"
3,8,4,"28038"," - Mx 1553#71","71",4.54,4.55,3.96,4.3,0.3,310,22,149,166,NA,"","","y","y"
1,8,10,"27885"," - Mx 1553#72","72",4.95,4.76,4.03,4.6,0.5,400,21,166,183,191,"","","y","y"
2,4,9,"27976"," - Mx 1553#72","72",5.7,5.23,4.69,5.2,0.5,410,20,165,179,180,"","","y","y"
3,8,1,"28013"," - Mx 1553#72","72",4.55,5.32,4.32,4.7,0.5,460,28,155,170,NA,"","y","","y"
1,3,10,"27880"," - Mx 1553#73","73",5.03,4.25,4.37,4.5,0.4,300,18,136,158,166,"","","y","y"
2,8,7,"27963"," - Mx 1553#73","73",5.51,5.56,5.17,5.4,0.2,320,16,142,159,163,"","","y","y"
3,1,5,"28040"," - Mx 1553#73","73",5.71,4.39,4.56,4.9,0.7,280,20,149,164,NA,"","","y","y"
1,1,12,"27895"," - Mx 1553#74","74",4.37,4.2,4.87,4.5,0.3,410,16,167,193,NA,"","","y","y"
2,6,3,"27926"," - Mx 1553#74","74",4.11,4.83,4.78,4.6,0.4,410,15,177,203,NA,"","","y","y"
3,6,7,"28061"," - Mx 1553#74","74",4.09,4.06,4.6,4.2,0.3,430,14,163,193,200,"","","y","y"
1,4,2,"27813"," - Mx 1553#75","75",3.59,4.56,4.27,4.1,0.5,290,18,109,118,122,"","y","","y"
2,3,6,"27950"," - Mx 1553#75","75",5.12,4.68,4.57,4.8,0.3,360,19,112,118,NA,"y","","","y"
3,4,11,"28095"," - Mx 1553#75","75",4.65,5.02,4.22,4.6,0.4,370,10,100,118,NA,"","","y","y"
1,7,1,"27807"," - Mx 1553#76","76",4.33,3.48,3.96,3.9,0.4,270,21,178,201,NA,"","","y","y"
2,8,6,"27955"," - Mx 1553#76","76",4.9,5.36,4.78,5,0.3,320,8,146,179,184,"","","y","y"
3,7,7,"28062"," - Mx 1553#76","76",4.54,3.94,3.72,4.1,0.4,300,17,160,184,NA,"","","y","y"
1,2,9,"27871"," - Mx 1553#77","77",5.08,5.24,5.16,5.2,0.1,300,18,173,190,NA,"","","y","y"
2,4,1,"27906"," - Mx 1553#77","77",5.15,4.74,4.95,4.9,0.2,380,19,193,210,NA,"","","y","y"
3,5,9,"28078"," - Mx 1553#77","77",4.84,4.96,5.49,5.1,0.3,370,24,180,197,198,"","","y","y"
1,6,6,"27848"," - Mx 1553#78","78",4.89,3.77,3.34,4,0.8,140,12,26,27,NA,"y","","","y"
2,1,10,"27981"," - Mx 1553#78","78",4.2,3.1,3.12,3.5,0.6,130,5,35,36,NA,"y","","","y"
3,2,3,"aBR 15 fS B3-R2 C3"," - Mx 1553#78","78",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
1,1,8,"27861"," - Mx 1553#79","79",5.57,5.09,5.31,5.3,0.2,490,9,152,186,191,"","","y","y"
2,4,8,"27968"," - Mx 1553#79","79",5.49,5.26,5.13,5.3,0.2,480,14,159,182,NA,"","","y","y"
3,1,6,"28049"," - Mx 1553#79","79",5.5,5.25,4.44,5.1,0.6,350,13,156,189,NA,"","","y","y"
1,4,8,"27864"," - Mx 1553#80","80",3.98,4.05,4.24,4.1,0.1,340,30,145,168,172,"","","y","y"
2,7,3,"27927"," - Mx 1553#80","80",4.44,3.86,4.4,4.2,0.3,370,12,151,176,NA,"","","y","y"
3,3,11,"28094"," - Mx 1553#80","80",4.65,4.71,4.13,4.5,0.3,360,19,148,174,176,"","","y","y"
1,7,10,"27884"," - Mx 1553#81","81",4.21,3.96,5.43,4.5,0.8,350,11,127,155,NA,"","","y","y"
2,8,9,"27979"," - Mx 1553#81","81",4.62,3.52,0.4,2.8,2.2,360,10,160,193,NA,"","","y","y"
3,5,7,"28060"," - Mx 1553#81","81",4.82,4.37,4.54,4.6,0.2,330,9,144,172,NA,"","","y","y"
1,6,12,"27899"," - Mx 1553#82","82",4.92,4.67,4.33,4.6,0.3,400,22,170,197,212,"","","y","y"
2,6,7,"27961"," - Mx 1553#82","82",4.39,4.62,4.13,4.4,0.2,620,23,186,207,219,"","y","","y"
3,9,12,"28108"," - Mx 1553#82","82",4.17,4.47,4.02,4.2,0.2,510,18,167,195,214,"","y","","y"
1,5,11,"27890"," - Mx 1553#84","84",5.92,5.19,4.72,5.3,0.6,330,14,163,190,199,"","","y","y"
2,4,2,"27915"," - Mx 1553#84","84",4.59,4.38,5.13,4.7,0.4,290,10,188,216,218,"","","y","y"
3,8,8,"28072"," - Mx 1553#84","84",5.68,5.3,4.34,5.1,0.7,370,9,174,193,202,"","","y","y"
2,5,11,"aBR 15 fS B2-R5 C11"," - Mx 1553#85","85",4.13,3.8,4.62,4.2,0.4,190,18,47,53,NA,"y","","","y"
1,4,7,"27855"," - Mx 1553#86","86",3.78,4.65,4.09,4.2,0.4,310,16,140,164,168,"","","y","y"
2,2,12,"27998"," - Mx 1553#86","86",3.99,4.91,4.1,4.3,0.5,380,26,158,179,NA,"","","y","y"
3,4,1,"28009"," - Mx 1553#86","86",4.03,4.14,4.69,4.3,0.4,260,17,148,168,NA,"","","y","y"
1,9,11,"27894"," - Mx 1553#87","87",4.5,4.38,3.91,4.3,0.3,310,24,173,192,197,"","y","","y"
2,6,12,"28002"," - Mx 1553#87","87",3.98,4.55,3.97,4.2,0.3,300,18,186,205,NA,"","","y","y"
3,3,10,"28085"," - Mx 1553#87","87",4.24,3.54,4.76,4.2,0.6,300,16,173,197,NA,"","","y","y"
1,5,5,"27839"," - Mx 1553#88","88",4.6,4.93,4.14,4.6,0.4,340,23,155,178,179,"","","y","y"
2,5,3,"27925"," - Mx 1553#88","88",3.91,4.25,4.17,4.1,0.2,360,15,145,177,181,"","","y","y"
3,8,11,"28099"," - Mx 1553#88","88",4.35,4.38,4.47,4.4,0.1,370,21,174,195,NA,"","","y","y"
1,3,9,"27872"," - Mx 1553#89","89",4.91,4.9,4.57,4.8,0.2,380,23,169,194,200,"","","y","y"
2,2,2,"27913"," - Mx 1553#89","89",4.74,4.36,4.86,4.7,0.3,500,18,174,210,215,"","","y","y"
3,7,12,"28106"," - Mx 1553#89","89",4.71,4.51,4.7,4.6,0.1,480,20,188,222,225,"","","y","y"
1,4,6,"27846"," - Mx 1553#90","90",5.37,5.1,5.34,5.3,0.1,350,11,63,64,NA,"y","","","y"
2,3,5,"27941"," - Mx 1553#90","90",5.25,5.18,4.87,5.1,0.2,470,19,72,73,NA,"y","","","y"
3,4,5,"28043"," - Mx 1553#90","90",4.47,4.29,4.9,4.6,0.3,390,10,66,67,NA,"y","","","y"
1,8,12,"27901"," - Mx 1553#91","91",4.92,5.1,4.34,4.8,0.4,260,15,84,106,108,"y","","","y"
2,2,1,"27904"," - Mx 1553#91","91",3.57,3.4,4.09,3.7,0.4,280,19,82,82,NA,"y","","","y"
3,1,2,"28015"," - Mx 1553#91","91",3.96,4.48,3.53,4,0.5,150,11,93,119,123,"y","","","y"
1,5,10,"27882"," - Mx 1553#92","92",4.85,4.41,5.55,4.9,0.6,600,23,187,211,214,"","","y","y"
2,3,11,"27992"," - Mx 1553#92","92",3.95,5.01,4.47,4.5,0.5,600,26,182,208,213,"","","y","y"
3,5,5,"28044"," - Mx 1553#92","92",4.81,5.17,4.88,5,0.2,530,10,156,183,195,"","","y","y"
1,8,8,"27868"," - Mx 1553#93","93",4.35,5.4,4.66,4.8,0.5,310,18,175,212,220,"","","y","y"
2,4,3,"27924"," - Mx 1553#93","93",5.78,4.76,4.82,5.1,0.6,340,16,202,237,238,"","","y","y"
3,2,8,"28066"," - Mx 1553#93","93",5.1,5.33,5.47,5.3,0.2,320,17,191,223,NA,"","","y","y"
1,5,7,"27856"," - Mx 1553#94","94",5.6,5.79,4.38,5.3,0.8,350,18,170,197,205,"","","y","y"
2,1,11,"27990"," - Mx 1553#94","94",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,5,2,"28018"," - Mx 1553#94","94",4.81,5.65,5.52,5.3,0.5,260,14,162,193,196,"","","y","y"
1,6,4,"27831"," - Mx 1553#95","95",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
2,8,3,"27928"," - Mx 1553#95","95",5.76,4.74,4.39,5,0.7,390,18,162,192,NA,"","","y","y"
3,9,5,"28048"," - Mx 1553#95","95",3.96,4.17,4.02,4,0.1,460,26,166,187,191,"","","y","y"
1,9,12,"27902"," - Mx 1553#96","96",4.87,4.49,5.37,4.9,0.4,360,19,143,172,NA,"","","y","y"
2,2,5,"27940"," - Mx 1553#96","96",5.66,5.17,4.1,5,0.8,310,23,159,180,NA,"","","y","y"
3,1,3,"28023"," - Mx 1553#96","96",5.05,4,3.99,4.3,0.6,210,12,102,132,NA,"","","y","y"
1,5,2,"27814"," - Mx 1553#97","97",5.16,4.75,4.85,4.9,0.2,340,20,163,183,NA,"","","y","y"
2,2,10,"27982"," - Mx 1553#97","97",5.32,4.44,4.29,4.7,0.6,270,16,152,183,194,"","","y","y"
3,8,3,"28030"," - Mx 1553#97","97",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
1,6,8,"27866"," - Mx 1553#98","98",4.12,4.62,3.96,4.2,0.3,370,29,90,94,NA,"y","","","y"
2,2,3,"27922"," - Mx 1553#98","98",3.21,3.27,3.94,3.5,0.4,400,28,108,109,NA,"y","","","y"
3,5,1,"28010"," - Mx 1553#98","98",4.45,4.39,4.11,4.3,0.2,290,19,100,100,NA,"y","","","y"
1,8,11,"27893"," - Mx 1553#99","99",7.4,6.28,5.57,6.4,0.9,320,20,170,194,203,"","","y","y"
2,8,2,"27919"," - Mx 1553#99","99",5.26,6.66,5.18,5.7,0.8,340,11,162,197,195,"","","y","y"
3,9,3,"28031"," - Mx 1553#99","99",5.63,4.74,5.06,5.1,0.5,280,13,157,179,187,"","","y","y"
1,9,3,"27826"," - Mx 1553#100","100",4.62,4.79,4.81,4.7,0.1,280,17,140,173,190,"","","y","y"
2,3,12,"aBR 15 fS B2-R3 C12"," - Mx 1553#100","100",0,0,0,0,0,0,0,0,0,0,"0","0","0","0"
3,9,2,"28022"," - Mx 1553#100","100",4.59,4.27,4.82,4.6,0.3,250,10,138,177,188,"","","y","y"
1,1,2,"27810"," - Mx 1553#101","101",4.81,3.99,4.95,4.6,0.5,300,18,164,184,194,"","","y","y"
2,7,8,"27970"," - Mx 1553#101","101",4.12,4.55,4.79,4.5,0.3,340,22,179,195,203,"","y","","y"
3,3,1,"28008"," - Mx 1553#101","101",4.98,3.59,4.14,4.2,0.7,260,17,174,197,202,"","y","","y"
